gene;fraction
Mllt3;hsc
Mecom;hsc
Procr;hsc
Pdzk1ip1;hsc
Hlf;hsc
Cd34;hsc
Cebpa;hsc
Irf8;hsc
Ccr2;hsc
Cebpe;hsc
S100a8;hsc
Satb1;hsc
Dntt;hsc
Il7r;hsc
Gata2;hsc
Cpa3;hsc
Lmo4;hsc
Itga2b;hsc
Pf4;hsc
Zfpm1;hsc
Gata1;hsc
Klf1;hsc
Epor;hsc
Hba-a1;hsc
Mcm6;hsc
Lig1;hsc
Mki67;hsc
Cenpa;hsc
Cxcl12;str
Kitl;str
Lepr;str
Spp1;str
Alpl;str
Bglap;str
Sox9;str
Fmod;str
Comp;str
Apod;str
Clec3b;str
Dpt;str
Cd34;str
Cdh5;str
Pecam1;str
Sox17;str
Efnb2;str
Car4;str
Rgcc;str
Ackr1;str
Selp;str
Lrg1;str
Tfpi;str
Stab2;str
Lyve1;str
Ccl21a;str
Acta2;str
Rgs5;str
