Fraction;Gene
hsc;Adgrl4
hsc;Alcam
hsc;Aldh1a1
hsc;Angpt1
hsc;Blvrb
hsc;Ccnd2
hsc;Cd34
hsc;Cd48
hsc;Cd52
hsc;Cd63
hsc;Cd74
hsc;Cd79a
hsc;Cd79b
hsc;Cdk1
hsc;Cdk4
hsc;Cdkn1c
hsc;Cebpa
hsc;Cebpb
hsc;Cebpe
hsc;Cenpa
hsc;Cenpe
hsc;Cited2
hsc;Clec12a
hsc;Cpa3
hsc;Ctsg
hsc;Cxcr4
hsc;Dntt
hsc;Elane
hsc;Epor
hsc;Esam
hsc;F13a1
hsc;Fcer1g
hsc;Fli1
hsc;Flt3
hsc;Gata1
hsc;Gata2
hsc;Gcnt2
hsc;Gfi1
hsc;Gng11
hsc;Grb10
hsc;Gzmb
hsc;Hba-a1
hsc;Hdc
hsc;Hist1h1b
hsc;Hist1h2ap
hsc;Hlf
hsc;Il7r
hsc;Irf8
hsc;Itga2b
hsc;Kit
hsc;Klf1
hsc;Krt18
hsc;Lmo2
hsc;Lmo4
hsc;Lockd
hsc;Ly86
hsc;Mcpt8
hsc;Mecom
hsc;Mef2c
hsc;Meis1
hsc;Mki67
hsc;Mllt3
hsc;Mmrn1
hsc;Mpl
hsc;Mpo
hsc;Ms4a2
hsc;Ms4a6c
hsc;Pbx1
hsc;Pf4
hsc;Plek
hsc;Procr
hsc;Prss34
hsc;Prtn3
hsc;Rag1
hsc;Ramp1
hsc;Rap1b
hsc;Rbp1
hsc;Runx1
hsc;S100a8
hsc;S100a9
hsc;Satb1
hsc;Slamf1
hsc;Socs2
hsc;Sox4
hsc;Spi1
hsc;Tcf4
hsc;Tek
hsc;Tie1
hsc;Txnip
hsc;Vpreb1
hsc;Vpreb3
hsc;Zfpm1
str;Acan
str;Ackr1
str;Acta2
str;Adamts5
str;Adipoq
str;Aebp1
str;Alpl
str;Angpt1
str;Anxa1
str;Anxa2
str;Aqp1
str;Aspn
str;Bcam
str;Bglap
str;Bglap2
str;Car1
str;Car2
str;Car3
str;Car4
str;Cav1
str;Cav2
str;Cavin1
str;Cavin2
str;Ccl21a
str;Cd200
str;Cd34
str;Cd9
str;Cdh5
stR;Cebpa
str;Chad
str;Col3a1
str;Comp
str;Cspg4
str;Cxcl12
str;Cxcl14
str;Dcn
str;Efnb2
str;Emcn
str;Ephb4
str;Eng
str;Esam
str;Fbn1
str;Fibin
str;Flt1
str;Flt4
str;Fmod
str;Fn1
str;Hba-a1
str;Hey1
str;Hp
str;Ibsp
str;Icam1
str;Irf8
str;Kdr
str;Kitl
str;Klf4
str;Lepr
str;Lum
str;Ly6a
str;Lyve1
str;Mef2c
str;Mgp
str;Mki67
str;Mmp13
str;Myh11
str;Myl1
str;Mylk
str;Myoc
str;Nes
str;Ostn
str;Pappa
str;Pcolce
str;Pdgfra
str;Pdgfrb
str;Pdpn
str;Pecam1
str;Plvap
str;Podxl
str;Postn
str;Pparg
str;Prelp
str;Prg4
str;Prox1
str;Prss34
str;Pth1r
str;Ptgis
str;Rgcc
str;Rgs4
str;Rgs5
str;Runx2
str;Selp
str;S100a10
str;Sox17
str;Sox18
str;Sox9
str;Sp7
str;Spp1
str;Stab1
str;Stab2
str;Steap4
str;Tagln
str;Tfpi
str;Thy1
str;Timp4
str;Tnc
str;Tnn
str;Ttn
str;Vcam1
