gene;cluster;purpose;fraction
Adgrl4;2_4;evaluation;hsc
Alcam;2_4;evaluation;hsc
Aldh1a1;2_4;evaluation;hsc
Cd34;2_4;subclustering;hsc
Cd48;2_4;evaluation;hsc
Cd63;2_4;evaluation;hsc
Cdk4;2_4;evaluation;hsc
Cdkn1c;2_4;evaluation;hsc
Cebpa;2_4;evaluation;hsc
Cited2;2_4;subclustering;hsc
Dntt;2_4;evaluation;hsc
Flt3;2_4;evaluation;hsc
Gata2;2_4;subclustering;hsc
Gng11;2_4;evaluation;hsc
Hlf;2_4;evaluation;hsc
Lmo2;2_4;evaluation;hsc
Mecom;2_4;subclustering;hsc
Meis1;2_4;subclustering;hsc
Mllt3;2_4;subclustering;hsc
Mmrn1;2_4;evaluation;hsc
Mpl;2_4;subclustering;hsc
Mpo;2_4;evaluation;hsc
Msi2;2_4;evaluation;hsc
Pbx1;2_4;subclustering;hsc
Procr;2_4;evaluation;hsc
Satb1;2_4;evaluation;hsc
Slamf1;2_4;evaluation;hsc
Socs2;2_4;evaluation;hsc
Sox4;2_4;evaluation;hsc
Spi1;2_4;subclustering;hsc
Txnip;2_4;evaluation;hsc
Zfpm1;2_4;evaluation;hsc
Adgrl4;6;evaluation;hsc
Cd34;6;evaluation;hsc
Cd63;6;subclustering;hsc
Cebpa;6;evaluation;hsc
Cebpb;6;evaluation;hsc
Cebpe;6;evaluation;hsc
Cited2;6;evaluation;hsc
Clec12a;6;evaluation;hsc
Cpa3;6;evaluation;hsc
Ctsg;6;evaluation;hsc
Elane;6;evaluation;hsc
F13a1;6;evaluation;hsc
Fcer1g;6;subclustering;hsc
Flt3;6;evaluation;hsc
Gfi1;6;subclustering;hsc
Hlf;6;evaluation;hsc
Irf8;6;subclustering;hsc
Lmo4;6;evaluation;hsc
Ly86;6;subclustering;hsc
Mcpt8;6;evaluation;hsc
Mecom;6;evaluation;hsc
Mef2c;6;evaluation;hsc
Meis1;6;evaluation;hsc
Mpo;6;evaluation;hsc
Ms4a2;6;evaluation;hsc
Ms4a6c;6;evaluation;hsc
Pbx1;6;evaluation;hsc
Prtn3;6;evaluation;hsc
S100a8;6;evaluation;hsc
S100a9;6;evaluation;hsc
Satb1;6;evaluation;hsc
Syne1;6;evaluation;hsc
Wfdc21;6;evaluation;hsc
Acan;6;evaluation;str
Adamts5;6;evaluation;str
Adipoq;6;evaluation;str
Alpl;6;subclustering;str
Anxa1;6;evaluation;str
Anxa2;6;evaluation;str
Aspn;6;evaluation;str
Bglap;6;evaluation;str
Bglap2;6;evaluation;str
Car3;6;evaluation;str
Cd200;6;evaluation;str
Cd34;6;evaluation;str
Cd9;6;evaluation;str
Chad;6;evaluation;str
Col3a1;6;evaluation;str
Comp;6;evaluation;str
Cxcl12;6;evaluation;str
Cxcl14;6;evaluation;str
Dcn;6;subclustering;str
Fmod;6;subclustering;str
Fn1;6;evaluation;str
Ibsp;6;evaluation;str
Kitl;6;evaluation;str
Lepr;6;evaluation;str
Lum;6;evaluation;str
Mef2c;6;evaluation;str
Mgp;6;subclustering;str
Mmp13;6;subclustering;str
Pdgfra;6;evaluation;str
Pdpn;6;evaluation;str
Postn;6;subclustering;str
Prelp;6;subclustering;str
Prg4;6;evaluation;str
Ptgis;6;evaluation;str
Pth1r;6;subclustering;str
Runx2;6;subclustering;str
S100a10;6;subclustering;str
Sox9;6;evaluation;str
Sp7;6;subclustering;str
Spp1;6;evaluation;str
Thy1;6;evaluation;str
Tnc;6;subclustering;str
