dataset;conservation_level;resolution
ts_all_stromal;conserved_signature;0.6
ts_all_stromal;conserved_markers;0.5
ts_all_stromal;mmusall_markers;0.65
ts_all_stromal;random_features;0.6
ts_bone_marrow;conserved_signature;0.5
ts_bone_marrow;conserved_markers;0.65
ts_bone_marrow;mmusall_markers;0.6
ts_bone_marrow;random_features;0.5
ts_hscs_progenitors;conserved_signature;0.55
ts_hscs_progenitors;conserved_markers;0.55
ts_hscs_progenitors;mmusall_markers;0.45
ts_hscs_progenitors;random_features;0.55
li_all_stromal;conserved_signature;0.6
li_all_stromal;conserved_markers;0.55
li_all_stromal;mmusall_markers;0.5
li_all_stromal;random_features;0.6
nmr_sorted_hspc;conserved_signature;0.5
nmr_sorted_hspc;conserved_markers;0.55
nmr_sorted_hspc;mmusall_markers;0.6
nmr_sorted_hspc;random_features;0.5
zeb_all_hspc;conserved_signature;0.5
zeb_all_hspc;conserved_markers;0.65
zeb_all_hspc;mmusall_markers;0.6
zeb_all_hspc;random_features;0.5
mus_weinreb_hspc;conserved_signature;0.55
mus_weinreb_hspc;conserved_markers;0.5
mus_weinreb_hspc;mmusall_markers;0.6
mus_weinreb_hspc;random_features;0.55
mus_tm_bonemarrow;conserved_signature;0.65
mus_tm_bonemarrow;conserved_markers;0.5
mus_tm_bonemarrow;mmusall_markers;0.4
mus_tm_bonemarrow;random_features;0.65
mus_tik_stromal;conserved_signature;1
mus_tik_stromal;conserved_markers;0.8
mus_tik_stromal;mmusall_markers;0.9
mus_tik_stromal;random_features;1
mus_bar_stromal;conserved_signature;0.55
mus_bar_stromal;conserved_markers;0.5
mus_bar_stromal;mmusall_markers;0.4
mus_bar_stromal;random_features;0.55
